output_id,output
14754a24_0,|0050055050505545005|0550542550550450550|5250554055055550505|5540000500050500055|5455550500550550500|5505000550545005055|0555505555445055000|5005555000050550050|0500000500500050505|0000500500500500550|0000550505050400050|5545555500504240505|5224000555055405555|0045000005050555555|5050050450055255005|5505505240055505055|5550555405505500550|5555000500505050500|0505550055500555555| 
15113be4_0,|10141004011401044444444|10040004001431140000884|01040004000411040000884|44444444444444448888884|00040004818400048888884|01041004031401148800004|10041014100401048800004|44444444444444444444444|10040014110411040014110|10041114000411041014100|00041004110410141004100|44444444444444444444444|10140004101411040004001|10040004001411141104000|01140104101400141004100|44444444444444444444444|00041104100400041004010|00140104100410041104100|11040004100410140004010|44444444444444444444444|01140014101401041104010|00041114111401141014110|00041014111400041004010| 
15663ba9_0,|0000000000000000|0043400434000000|0420233203000000|0300000002000000|0300000002022340|0432002334020030|0003003000042030|0434004200002030|0300000300002030|0300432400434030|0433200000300030|0000000000300030|0002220000433340|0003030000000000|0004340000000000| 
15696249_0,|123|456|789|
16b78196_0,|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000888800000000|000000000000000000088882000000|000000000000000000008888000000|000000000000000000000830000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000060000000|000000000000000000430060000000|000000000000000004430000000000|000000000000000000040000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000004000000000000|000000000000000000000000000000|000000000000000000040000000000|000000000000000000040022000000|000000000000000000440000000000|000000000000000000400000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000| 
17b80ad2_0,|00002309040003008|00300044000000000|00000005000000000|00050000000500000|00050001800794900|00060004101960707|00070804701300500|00097034430500200|00450004400500900|00020019400200120|00030005400500700|04020004100900100|00050004009000300|00000003500502500|00010000600490303|00000000000000100|00000509500500000| 
17cae0c1_0,|611196666|611996666|666191166| 
18419cfa_0,|00000000000000000000000000|00000000000000000000888000|00000000000000000888808888|00088888888800000800000008|00080000000800000802000208|00880020020880020802222008|00800220220080220802000208|00880022220880220802020208|00080000000800220800222008|00088888888800020802000208|00000000000002000800000008|00000000000020000888808888|00000000000000000000888000|00000000000000000000000000|00000000008880000002000000|00000088888088888000222000|00000080000000008022222000|00002080020002208002222000|00002080002220208000220000|00002080220202208020000000|00000080020202008000222200|00000080002220008000222000|00000080200200208000220000|00000080000000008000220000|00000088888088888000220000|00000000008880000000000000|00000000000000000000000000|00000000000000000000000000| 
184a9768_0,|00000000000000000000000000|00044400000000000000000000|00000000000300000000000000|00000000340400000000000000|00000000340440000000000000|00000004340440000000000000|00004444444440000000000000|00000000000000000000000000|00400000000006000000000000|02220000000000000000000000|02220000000000000000000000|00000000000000000003300000|00000000440000000003000000|00000000000006000000000000|00000006600006000000000000|00000001100001000000000000|00000061100001000003000000|00000061100061000000000000|00000666000006000000000000|00000660000000000000000000|00000116000000000000000000|00000116000000000002000000|00000110000000000002000000|00000000000000000000000000|00000000000000000000000000| 
195ba7dc_0,|123|456|789|
1990f7a8_0,|123|456|789|
19bb5feb_0,|123|456|789|
1a2e2828_0,|6| |7| |3| 
1a6449f1_0,|123|456|789|
1acc24af_0,|000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000002000000|020022000050|022020055050|002020055050|000000000000| |000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000002000000|050055000020|055050022020|002050022020|000000000000| 
1c02dbbe_0,|000000000000000|066555544555440|061553544455440|055555555555460|066555554554160|055555555554550|055555555555540|065555555555550|055335555555110|055455555555550|061445555555550|014445556555150|061444556553110|066145156554110|000000000000000| 
1c0d0a4b_0,|0000000000000|0022002000020|0020000002000|0000002200200|0000000000000|0020002200000|0000020200200|0200002002020|0000000000000|0000002000200|0002000200000|0202020000220|0000000000000| |0000000000000|0022002002020|0020000002000|0000002200200|0000000000000|0020002200000|0000020200200|0200002002020|0000000000000|0000002002200|0002000200000|0202020000220|0000000000000| 
1c56ad9f_0,|000000000000000|000888888880000|000800000000000|000080080080000|000800000000000|000080080080000|000000000000000|000880888888000|000000800800000|000888888088000|000000000008000|000088088088000|000000000800000|000888888888000|000000000000000| 
1d0a4b61_0,|1111111111111111111111111|1251551521251551521251551|1521551251521551251521551|1111111111111111111111111|1551221551551221551551221|1551221551551221551551221|1111111111111111111111111|1521551251521551251521551|1251551521251551521251551|1111111111111111111111111|1251551521251551521251551|1521551551521551251521551|1111111111111111111111111|1551251221551221551551521|1551221551551221551551521|1111111111111111111111111|1521551251551221251521221|1251551521231551521251551|1111111111111111111111111|1251551521231251521251551|1521551251551221251521551|1111111111111111111111111|1551221551551221551551221|1551221551551221551551221|1111111111111111111111111| 
1d398264_0,|000010000000|003010000000|000612000000|722672222227|000322000000|003070000000|000070000000|000070000000|000070000000|000070000000|000070000000|000070000000| 
1d398264_1,|0000300000000000|0030307000000000|0003350000000000|7722877777777777|0003320000000000|0030300000000000|0000300000000000|0000300000003000|0000300000000000|0000300000000000|0000300000000000|0000300000000000|0000300000000000|0000300000000000|0000300000000000|0000300000000000| 
1da012fc_0,|0000000000000000000000000|0002200002220000000000000|0025520020202000000000000|0002200000200000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000002220000000000000000|0000022022000000000000000|0000002220000000555555550|0000000000000000535554550|0000000000000000555555550|0000000000000000555555550|0002000000200200555355550|0022200002222220555555550|0002000000022000555555550|0000000000000000525552550|0000000000000000555555550|0000000000000000555555550| 
1e81d6f9_0,|000500000000000|010500001000000|000503000080007|555500600000000|000000000000620|000000900030000|000108700000030|000070072000000|000004100066000|000000008000000|000000000009000|000000009000000|000000000000020|000100000000000|000090000007000| 
1e97544e_0,|23456788123456788123456|33456788123456788123456|34456788123456788123456|34556788123456788123456|34456788123456788123456|34556788123456788123456|34561234123456788123456|34561881323456788123456|34567881323456788123456|34567881233456788123456|34567881234456788123456|34567881234456788123456|34567881234556788123456|34567881234556788123456|34567881234556788123456|34567881234566888123456|34567881234567888123456|34567881234567881123456|34567881234567881223456|34567881234567881233456|34567881234567881234456|34567881234567881234556|34567881234567881234566| 
2037f2c7_0,|123|456|789|
2072aba6_0,|123|456|789|
20818e16_0,|123|456|789|
20981f0e_0,|0000000000000|0020000200002|0000000000000|0000000000000|0001100001100|0000110001000|0020000200002|0001000001100|0000000000000|0000000000000|0000010000000|0020000200002|0000000000000|0000000001000|0001110000100|0000000000000|0020000200002| 
212895b5_0,|00050000000000000000000|00500000000000000000000|00500050000000550000005|00050040005505000000000|00000204020000055000055|00000088800000000055000|00000488840000000000000|00000088800500000005000|00000204020000500050050|00505044400000050050050|00000000000505000000000|00505500500000000055050|00000000050000000000000|00000050000005000005000|50005055000050000000500|00500000000050500500005|05000000000000205000550|50005050000000500000000|00000000050000000000005|00000005000000000050000|00000000000000025000000| 
21f83797_0,|0000200002000|2222222222222|0000200002000|0000200002000|0000210002000|0000211112000|0000211112000|0000211112000|0000211112000|0000200002000|2222222222222|0000200002000|0000200002000| 
22a4bbc2_0,|2220|0111|0880|2221|8880|8820|0111|0880|0820|2222|2222|8888|1100|0888|1110|8888|0110|0110|8888|8888|0221|0111| 
25094a63_0,|683338183881631231113122682386|166881336388211368831418238882|883631683863128182134444111836|131281822213183631131444441263|812386444444444413811444448368|613186444444444414316114116283|333383444444444413416288884813|331321444444444481132632188828|183283444444444468882831336131|812316444444444438661383328881|331128444444444838181862811163|611216832281638263213361286222|132812881322223338321166383316|812631328133818366831813323363|881328112121811333888333186113|683281311311838833363331363286|381182332816166863183888116331|881236341883368181223838826861|318233633631131181318281121338|888128831133336334343138288128|683812838318331344443828883311|816312881138238344443383833131|212218631388822344444881311326|113663228263862344444311338333|136183213313838344444383833812|883882222886833343333221618686|331118833328233343688228112188|663336338888136833811161262638|128321333313866181621633383818|862638288311611218121318363338| 
2546ccf6_0,|00000600000600000600000|00000600000600000600000|00200600200600000600000|00222622200600000600000|00020602000600000600000|66666666666666666666666|00020600000600000600000|00222634100600000604000|00200603000600110600000|00010601100600101604000|00000600000600010600000|66666666666666666666666|00000600000600010601000|00113601100600101610100|00010600000600110601100|00444643400600000600000|00040604000600000600000|66666666666666666666666|00000604000600000600000|00100643400600000604000|00000600000600000600000|00000600000600000600000|00000600000600000600000|66666666666666666666666|00000600000600000600000|00000600000600000600000| 
256b0a75_0,|70000000933033311330000000|00000000003003332300000060|00000000330033333000000000|00009000330033333000000000|00000000330033333300010000|00000033333043333033000000|00000033333033333333000000|00000323333333333330000033|36333333337333839333333333|33333388883338833333333333|33333383333333833393333333|33323383333333833337633333|33333333333333338333333333|33333383333333838333333333|33333383333333838333333333|00333388033338833333333330|03330033343133333330000000|00000033333333333300000000|00000033333033333300000000|00000033333033323300000000|00100035330033333300000000|00000033303033333700000000|00000033000033333000309000|00000033000033333300000000|00000033000033333000000000| 
2685904e_0,|8800000000|0000000000|0000000000|0000000000|0000000000|0000000000|5555555555|0000000000|2364624439|0000000000| 
2697da3f_0,|123|456|789|
2753e76c_0,|123|456|789|
27a77e38_0,|911849811|443117679|116978436|986341917|555555555|000000000|000000000|000000000|000100000| 
27f8ce4f_0,|123|456|789|
281123b4_0,|123|456|789|
292dd178_0,|555555555555555|522222521111555|812112521222255|812218521221555|812218821111558|811118222222555|822222811112555|822225512212555|222225212212555|222225212112555|822225555555555| 
29700607_0,|00046500000|00046200000|00046200000|00006000000|00006000000|00006000000|00006000000|46606600000|00006000000|00006660666|00000000000| 
2a5f8217_0,|0000007700000|0070077703700|0777009037700|0000000006000|0000009000000|0060099900000|0660009000090|0060000000777|0000009000000|0000099000060|0070009000666|9090000000060|7000000000000| 
2b01abd0_0,|0000000010000000|0000000010000000|0000000010000000|0003003010888800|0004444010888800|0003003010888800|0044400010888800|0000006010000000|0006006010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000| 
2c0b0aff_0,|3888883888|8838833388|8333883838|8838888333|8888388838|8383338888|3338388883|8388888388| 
2c737e39_0,|0000000000|0000000000|0000000000|0000001000|0000000000|0000000000|0000000000|0003100000|0005000000|0223300000|0103377000| 
2f0c5170_0,|123|456|789|
310f3251_0,|123|456|789|
3194b014_0,|123|456|789|
319f2597_0,|45759230786942025027|91755127191740472958|91869476955500484785|42955282779600983392|19238431134600112646|14356000107300030629|77192409005802224212|29012948270200022477|42668920024500048521|32489895206012079005|13727352393202179857|16466559232400399966|86522320496900771593|37759870229000007007|69563700989000020020|28535671474400004447|78479578746800304197|45994557985800283724|16143654174700095499|29267899645870436395| 
31adaf00_0,|5010505050|5115055000|5505510550|5011011501|5111550015|1111105510|0155115510|5050505005|0550501555|0005550000| 
31d5ba1a_0,|123|456|789|
31d5ba1a_1,|123|456|789|
32e9702f_0,|5357775355|5555555555|5555555535|5555555555|3375555555|5555555555|5555555555|5555577775|5555555555|5555555555| 
332efdb3_0,|11111111111|10101010101|11111111111|10101010101|11111111111|10101010101|11111111111|10101010101|11111111111|10101010101|11111111111| 
3391f8c0_0,|00000000000000|00010000100000|00111001110000|00010000100000|00000000000000|00100000100000|00010001110000|00000000100000|00000000000000|00000000000000|00000000000000| 
33b52de3_0,|00000000000000000000000|00000008180888088108180|02122003080808080808080|08144001080801010808080|01144000000000000000000|08111008180811011108880|08111001010101020808080|00000008080801020101080|00000000000000000000000|00000001110221011102120|00000001010201010102010|00000001010201010101020|00000000000000000000000|00000001220221031101110|00000001020101030101010|00000001020201030101010|00000000000000000000000|00000002220211011102120|00000001010101010103010|00000001010101010101010|00000000000000000000000|00000000000000000000000|00000000000000000000000| 
3490cc26_0,|00000000000000000000000|00000000000000000000000|00000000000000000000000|00002200000880000078800|00002200000880000008800|00000000000000000000000|08800700700770000000000|08807707700770000000000|00007008877880000000000|00007008877880000000000|00000007700000000000000|00000000000000000000000|00007707700000088000000|00007707700000088000000|00008878800000007000000|00008878800000000000000|00000707000000000008800|00007700000007700008800|00007700000007700000000|00008870000778800000000|00008800000778800000000|00000000000000000000000| 
34b99a2b_0,|123|456|789|
351d6448_0,|123|456|789|
358ba94e_0,|11111|11111|10111|11101|11111| 
37d3e8b2_0,|003333300000000000|003030307777777000|003033307077007000|003333307777007000|000000007007777000|000000007777777000|003333000000000000|003003000033333330|003333000030033330|000000000033330030|000000000033330030|077777770030333330|070077770030333330|070077770033300330|077770770033300330|077777770033333330|000000000000000000| |002222200000000000|002070703377222000|002011107072002000|002221102723002000|000000002002331000|000000002333333000|001212000000000000|001001000011213120|002222000010011110|000000000011130020|000000000023210020|022222110020312220|020017310020322730|020013310023200220|011170210017200230|011222230023322330|000000000000000000| 
3979b1a8_0,|123|456|789|
3a301edc_0,|222222222222222222222|222222222222222222222|222222222222222222222|222222222222222222222|222222222222222222222|222222222222222222222|222222222222222000002|222222666632222000002|222222666632222000002|222222666632222000002|222222666632222000002|222222222222222000002|222222222222222222222|222222222222222000000|222222222222222000000|222222222222222000000|222222220002000000000|222222220002000000000|222222220002000000000|222222220002000000000|222222222222000000000| 
3b4c2228_0,|123|456|789|
3b4c2228_1,|123|456|789|
3d31c5b3_0,|123|456|789|
3ed85e70_0,|000000000000000000000000000000|008800000000000000000000000000|008200000000001110000000000000|010010000000001110000111100000|000000000000001110000011000000|000000000000000000000000000080|000000000000000000000000004400|000000000660000000111100004400|000000000660000000188810000080|000000000000000000188810000000|000001000000000000088800000000|000006100000000000111100000000|000000000000000000000000111000|000000000000000000000000111000|000000000000000220000000111000|000000000000000220000000000000|000000000000000000000000000000|000000000000000000000000000000|000008100000000000000066000000|000000000000000000000066000000|000000000000000000000000000000|000000000000000000000000000000|333333333333333333333333333333|333883333333333333333333333333|333822333333111333333333333333|333322833333161333333314333333|333338833333111333333341333333|333333333333333333333333333333|333333333333333333333333333333|333333333333333333333333333333| 
3ee1011a_0,|123|456|789|
3f23242b_0,|0000000000000000000|0000500000000000000|0005500000000000000|0080308002020000000|0000000000000000000|0282822222222222200|2228282222882288822|0000000000050000000|0000000000030800000|0000000000000222000|2282222228282222200|0222228222222222220|0220200002020220000|0020203020222222200|0000000000000000000|0000000000000000000|0000000000000000000| 
40f6cd08_0,|000000000000000000000000000000|002222844482222000000000000000|002222844482222000000000000000|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|002222844482222000222222222220|000000000000000000222222222220|000000000000000000222222222220|000000000000000000222222222220|002222222222222200222222222220|002222222222222200222222222220|002222222222222200222222222220|002222222222222200222222222220|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|002222222222222200000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000| 
414297c0_0,|123|456|789|
423a55dc_0,|0000000000000|0000000000000|0000000000000|0000000000000|0000080000000|0000000000000|0000800000002|0000000000002|0000000000000|0000000000000|0000000000000| 
