output_id,output
09c534e7_0,|000000000000000000000000000000|000000001111100000000001111110|001111001444100111111001444410|001441111444111144441111444410|001441001444100144441001444410|001111001444100111111001444410|000000001111100000100001111110|000000000010000011110000001000|000011110111000014410000111100|000014414141000011110000144100|000011110141000000000000144100|000001000111000000000000111100|000011100000000000000000000000|000014100000000111110000000000|000011100000000188810111100000|000000000111000188811188100000|000000000181000188810111100000|000000000111000111110000000000|000000000080000080000000000000|000000000111111111111000000000|011101110188888888881000011110|018111810188888888881000016610|011101811188888888881000016610|000001110188888888881000016610|000000000188888888881000011110|000000000111111111111000000100|001111000000000000000000011110|001661001111000111100000016610|001661111661111166111111116610|001111001111000111100000011110| |000000000000000000000000000000|000000001111100000000001111110|001111001848100111111001888810|001881111888111188881111888810|001881001888100188881001888810|001111001888100111111001888810|000000001111100000100001111110|000000000010000011110000001000|000011110111000018810000111100|000018818181000011110000188100|000011110181000000000000188100|000001000111000000000000111100|000011100000000000000000000000|000018100000000111110000000000|000011100000000186610111100000|000000000111000166611166100000|000000000161000166610111100000|000000000111000111110000000000|000000000010000010000000000000|000000000111111111111000000000|011101110166666666661000011110|016111610166666666661000016610|011101611166666666661000016610|000001110166666666661000016610|000000000166666666661000011110|000000000111111111111000000100|001111000000000000000000011110|001661001111000111100000016610|001661111661111166111111116610|001111001111000111100000011110| |000000000000000000000000000000|000000001111100000000001111110|001111001242100111111001222210|001221111222111122221111222210|001221001222100122221001222210|001111001222100111111001222210|000000001111100000100001111110|000000000010000011110000001000|000011110111000012210000111100|000012212121000011110000122100|000011110121000000000000122100|000001000111000000000000111100|000011100000000000000000000000|000012100000000111110000000000|000011100000000123310111100000|000000000111000133311133100000|000000000131000133310111100000|000000000111000111110000000000|000000000010000010000000000000|000000000111111111111000000000|011101110133333333331000011110|013111310133333333331000016410|011101311133333333331000016610|000001110133333333331000016610|000000000133333333331000016110|000000000111111111111000000100|001111000000000000000000011110|001661001111000111100000016610|001661111661111166111111116610|001111001111000111100000011110|
0a1d4ef5_0,|0| |0| |0|
0a2355a6_0,|00000000000000000|00444400000002220|00400400444002020|00444444404002220|00004040404002020|00004444444002020|00000000000022220|00000000000020020|00000000000022220|00333333000000000|00300003000000000|00300003002222222|00333333002002002|00000000002002002|00000000002222222| |0| |0|
0b17323b_0,|100000000000000|000000000000000|000000000000000|000100000000000|000000000000000|000002000000000|000000100000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000200|000000000000000|000000000000000| |100000000000000|000000000000000|000000000000000|000100000000000|000000000000000|000002000000000|000000100000000|000000000000000|000000000000000|000000000000000|000000000020000|000000000002000|000000000000200|000000000000000|000000000000000| |100000000000000|000000000000000|000000000000000|000100000000000|000000000000000|000000000000000|000000100000000|000000000000000|000000000000000|000000000000000|000000000020000|000000000002000|000000000000200|000000000000000|000000000000000|
0bb8deee_0,|0| |0| |0|
0becf7df_0,|8900000000|2400088000|0009998000|0004998000|0004440000|0004420000|0004220000|0009220000|0000020000|0000000000| |8900000000|2400089000|0009999000|0002999000|0004220000|0004420000|0004220000|0008220000|0000020000|0000000000| |8900000000|2400099000|0004222000|0008244000|0008240000|0009490000|0009090000|0002090000|0000090000|0000000000|
0c786b71_0,|55555555|55555555|55555533|55555533|55555555|55555555| |55555555|55555599|55555533|55555533|55555555|55555555| |55555588|77755588|85585587|85585587|77777877|88777888|
0c9aba6e_0,|0080|0008|0000|0000|0800|8800| |0080|0008|0880|0000|0800|8800| |0000|0000|0002|6600|0000|0060|
0d87d2a6_0,|0000010002220000000000000|0000010002220000000222200|0000010002220000000222200|0000222002220111110222200|1000222000000111110222201|0000222000000111110000000|0000000000000111110000110|0000000000000111110000110|0000000000000000000000110|0000000001100000000000000|0111110001100000000000000|1111110001101000101000001|0111110000000000000000000|0111110000000000000000000|0000000000000000000000000|0000000000000000000000000|0000011111111100000002220|0000011111111100000002220|0000011111111100022002220|0000011111111100022000000|0000011111111100000000000|0000010000000000000000000|0000010000000000000000000| |0000010001110000000000000|0000000001110000000112200|0000000011110000000112200|0000111001120111110112200|1000111000000111110111101|0000111000000111111000000|0000001000000111110000220|0000000000000111110000220|0000000000000100000000220|0000000001100000000000000|0111110001100011000110000|1111110001101000001000111|0111110001100000000000000|0111110000000000000000000|0000010000000000000000000|0000000000000000000000000|0000011111111100000002220|0000011111111100000002220|0000011111111100022002220|0000011111111100022000000|0000011111111100000000000|0000010000000000000000000|0111110000000000000000000| |0000010001110000000000000|0000000001110000000222200|0000000111111111110122200|0000222001110111210112200|1000112000000111120111201|0000111110001111110000000|0000000000000111110110220|0000000000000111110110220|0000001110001011100110220|0000000001200000000000000|0111110001100000000000000|1111111111101000001000111|0111110000000000000000000|0121110000000000000000000|0000000000000000000000000|0000000000000000000000000|0000022222111100000002220|0000022222211100000002220|0000022222221100011001220|0000022222222100011000000|0000022222222200000000000|0000010000000000000000000|0000010000000000000000000|
0e671a1a_0,|0000000000000|0000000000000|0000000500400|0000000000000|0000000000000|0255555555500|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000300000|0000000000000| |0000000000000|0000000000000|0000000500400|0000000500000|0000000500000|0255555555500|0000000500000|0000000500000|0000000500000|0000000500000|0000000500000|0000000300000|0000000000000| |0000000500000|0000000500000|0000000500400|0000000500000|0000000500000|0255555555500|0000000500000|0000000500000|0000000500000|0000000500000|0000000500000|0000000300000|0000000000000|
0f63c0b9_0,|888888888888888|800000000000008|888222222222222|200000000000008|222222188888888|200000000000002|100000000000001|100000000000001|100000000000001|311111111113111|300000000000003|300000000000003|333333333333333|300000000000003|333333333333333| |382332333218333|200000000000002|888888888888888|100000000000002|222222222222222|200000000000002|300000000000002|300000000000008|300000000000003|111111111111111|100000000000002|200000000000002|333333333333333|200000000000002|222222122323222| |282322122238222|800000000000008|888888888888888|800000000000002|222222222222222|200000000000008|300000000000003|300000000000003|300000000000003|111111111111111|300000000000003|300000000000003|333333333333333|300000000000003|333333123333333|
103eff5b_0,|00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00444400000000000000000000|00444400000000000000000000|00444400000000000000000000|00444400000000000000008000|00000088888888000000008200|00000088888888000000080200|00000088888888000000000000|00000088888888000000000000|00444444440000000000000000|00444444440000000000000000|00444444440000000000000000|00444444440000000000000000|00000000000000000000000000| |00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00888800000000000000000000|00888800000000000000000000|00888800000000000000000000|00888800000000000000008000|00000088888888000000008800|00000088888888000000080200|00000088888888000000000000|00000088888888000000000000|00888844440000000000000000|00888844440000000000000000|00888844440000000000000000|00888844440000000000000000|00000000000000000000000000| |00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00222200000000000000000000|00222200000000000000000000|00222200000000000000000000|00222200000000000000003000|00000011333333000000003300|00000011333333000000030400|00000011333333000000000000|00000011333333000000000000|00444444440000000000000000|00444444440000000000000000|00444444440000000000000000|00444444440000000000000000|00000000000000000000000000|
11e1fe23_0,|00000000000000|00009000000090|00050000000500|00003000000000|00000300000000|00000030900000|00000000000000|00000080000000|00000500000000|00009000000000|00000000000000|00000000000000| |00000000000000|00003000000030|00050000000500|00003000000000|00000300000000|00000030900000|00000000000000|00000080000000|00000500000000|00009000000000|00000000000000|00000000000000| |00000000000000|00000000000000|00030000000800|00000000000000|00000300080000|00000000500000|00000000000000|00000000000000|00000900000000|00000000000000|00090000000000|00000000000000|
12422b43_0,|5044400|5008000|5006000|0022000|0088800|0088800|0044000|0088800|0084800|0088800| |5044400|5008000|5006000|0002000|0088800|0044800|0088800|0047800|0084800|0088800| |5044400|5008000|5006000|0022000|0044400|0044400|0005000|0045400|0044400|0005500|
12997ef3_0,|0| |0| |0|
12997ef3_1,|0| |0| |0|
12eac192_0,|03033303|33000330|03300003|11050300|01055503|03003007|30100037|00110307| |03033333|33000333|03300003|11050300|01055503|03003007|30100037|00110307| |03033303|33000330|03300003|11050300|01055501|03003007|30100017|00110307|
136b0064_0,|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000|0000000| |0000000|0000000|0000000|0000000|0000000|0000000|2000000|0000000|0000000|0000000|0000000|0000000|3333000|3030000|3333000|0000000|0000000|0000000|0020000| |0050000|0000000|0000000|0011110|0100000|0002000|1021000|0161010|0000300|0630000|0600000|0066000|0600600|0000600|0600600|0161010|0001010|0000000|0000000|
13713586_0,|555555555555555555|444433332222208880|444433332222208880|444433332222208880|444433332222208880|444433332222208880|444433332222200000|444433330002200000|003333332222200000|003333332222200000|003333332222200000|003333332222200000|003333332220000000|003333332220000000|003333332220000000|003333333330000000|000000000000000000|000000000000000000|000000000000000000| |555555555555555555|444433332222208880|444433332222208880|444433332222208880|444433332222208880|444433332222208880|444433332222200000|444433330002200000|005533332222200000|005533332222200000|005533332222200000|005533332222200000|005533332220000000|005533332220000000|005533332220000000|003333333330000000|000000000000000000|000000000000000000|000000000000000000| |555555555555555555|000000000000000000|000000000000000000|000000000000000000|000000000000000000|000000000000008880|000000000000008880|444400000000008880|444400000000008880|444400000000008880|444400000000008880|444400002222208880|444400002222208880|444400002222208880|444400002222208880|443333333332208880|443344443332208880|443344443332208880|443344443332208880|
137f0df0_0,|0001100100|0552255255|0552255255|1222222222|0552255255|0552255255|1222222222|0552255255|0552255255|0001100100| |1222222222|0552255255|0552255255|1222222222|0552255255|0552255255|1222222222|0552255255|0552255255|0001100100| |1122222222|0552255255|0552255255|1222222222|0552255255|0552255255|1222222222|0552255255|0552255255|0001100100|
140c817e_0,|88181881888881|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|88131381888831|11111111111112| |88181881888881|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|88131381888831|11111111111118| |88181881888888|88181831388888|11111112111111|88181831388888|83131881888888|11211111111111|83131881888888|88181881888888|88181881888888|88181881888888|88131381888888|11112111111111|88131381888888|38181881888882|
14754a24_0,|0050055050505545005|0550545550550450550|5550554055055550505|5540200500050500055|5455550500550550500|5505000550545005055|0555505555445055000|5005555000050550050|0500000500502050505|0000500500500500550|0000550505050400050|5545555500504542505|5554020555055405555|0045000005050555555|5050050450055555005|5505505540255505055|5550555405505500550|5555000500505050500|0505550055500555555| |0050055050505245005|0550545550550450550|5250524055055550505|5240000500050500055|5455550500250550500|5505000550545005055|0555505225445055000|5005555000050550050|0500000500500050505|0000500500500500550|0000550505050400050|5545555500504240505|5224000555052405555|0045000005050555555|5050050450055555005|5505502540055505055|5550552405505500550|5555000500505050500|0505550055500555555| |0050055050505545005|0550545550550450550|5550554055055550505|5540200500050500055|5455550500552550500|5505000550545005055|0555505555445055000|5025555000050550050|0520000500500050505|0000500500500520550|0020550505050420050|5545555500504542505|5554020555055405555|0245000025050555555|5050050450055555005|5505505540255505055|5550555405505500550|5555000500505050500|0505550055500555555|
15113be4_0,|70747004011401044444444|70040004001411140000774|01040004000411040000774|44444444444444447777774|00040004111400047777774|01041004011401147700004|10041014100401047700004|44444444444444444444444|10040074110411040014110|10041114000411041014100|00041004110410141004100|44444444444444444444444|10140004101411040004001|10040004001411141104000|01140104101400741004100|44444444444444444444444|00041104100400041004010|00140104100410041104100|11040004100410140004010|44444444444444444444444|01140074101401041104010|00041114111401141014110|00041014111400041004010| |70747004011407044444444|70040004001411140000774|01040004000411040000774|44444444444444447777774|00040004111400047777774|01041004011401147700004|10041014100401047700004|44444444444444444444444|10040074110471040014110|10041114000411041014100|00041004110410141004100|44444444444444444444444|10140004101411040004001|10040004001411141104000|01140104101400741004100|44444444444444444444444|00041104100400041004010|00140104100410041104100|11040004100410140004010|44444444444444444444444|01140074101401041104010|00041114111401141014110|00041014111400041004010| |70141004011401044444444|10040004001411140000774|01040004000411040000774|44444444444444447777774|00040004117400047777774|01041004011401147700004|10041014100401047700004|44444444444444444444444|10040014110411040014110|10041114000411041014100|00041004110410141004100|44444444444444444444444|10140004101411040004001|10040004001411141104000|01140104101400141004100|44444444444444444444444|00041104100400041004010|00140104100410041104700|11040004100410140004010|44444444444444444444444|01140014101401041104010|00041114111401141014110|00041014111400041004010|
15663ba9_0,|0000000000000000|0043400434000000|0320233203000000|0200000003000000|0300000003043340|0432002332020030|0003003000022030|0422004300003030|0300000300003030|0300233400432030|0433200000300030|0000000000300030|0003330000433340|0003030000000000|0004340000000000| |0000000000000000|0043400434000000|0320233203000000|0300000003000000|0300000003043340|0332003332020030|0004003000022030|0332004400003030|0400000400003030|0300223400432030|0433300000300030|0000000000300030|0003340000443340|0003030000000000|0004340000000000| |0000000000000000|0043400434000000|0420233303000000|0300000003000000|0300000003043340|0432003334030030|0003003000042030|0432003200003030|0200000200003030|0300233400432030|0443200000300030|0000000000300030|0003340000433340|0003030000000000|0004340000000000|
15696249_0,|000000663|000000443|000000443|000000663|000000443|000000443|000000663|000000443|000000443| |000000446|000000333|000000336|000000446|000000333|000000336|000000446|000000333|000000336| |000000334|000000341|000000316|000000344|000000323|000000331|000000346|000000363|000000331|
16b78196_0,|000000000333333300000000000000|000000000333333300000000000000|000000000033333000000000000000|000000000003333300000000000000|000000000333333300000000000000|000000000333333304000000000000|000000000033333344040000000000|000000000333333344440000000000|000000000333333304400000000000|000000000333333300000000000000|000000000333333300000000000000|000000000333333000000000000000|000000000333333000000000000000|200000000033333000000000000000|200000000033333300000000000000|200000000333333300000000000000|888800000333333300000000000000|000000000333333000000000000000|000000000033333000000000000000|000000000003333300000000000000|000000000033333300000000000000|000000000333333300000000000000|000000000333333300000200000000|000000000333333300000280000000|000000000033333300000888000000|000000000333333300000280000000|000000000333333300000828000000|000000000333333000000008000000|000000000333333300000000000000|000000000333333300000000000000| |000000000000000000000000000000|000000000000003300000000000000|000000000000000300000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000004000000000000|000000000000000044040000000000|000000000000000044440000000000|000000000000000004400000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000400000000000|000000000000000004140000000000|000000000000000044414000000000|000000000000000001444000000000|000000000000000000144000000000|000000000000000000014000000000|000000000000000010004000000000|000000000000000044000000000000|000000000000000044400800000000|000000000000000011000338000000|000000000000000040000333000000|000000000000000000000338000000|000000000000000000004388000000|000000000000000000044880000000|000000000000000000004880000000|000000000000000000000883000000|000000000000000000000083000000|000000000000000000000000000000|000000000000000000000000000000| |222222222000000000000000000000|222222222000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000022000000000000000000000|000003332000000000000000000000|000001000000000000000000000000|000000033000000000000000000000|222443333000000000000000000000|222223333000000000000000000000|222222333000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000222222000000000000000000000|000022222000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000300000000|000000000000000000000338000000|222223333000000000000333000000|222222333000000000000333000000|222222233000000000000383000000|000000000000000000000880000000|222222222000000000000880000000|222222222000000000000883000000|000000000000000000000083000000|222222222000000000000000000000|222222222000000000000000000000|
17b80ad2_0,|00002309040093908|00300044000090904|00000004000090904|00000004000090904|00000001800094904|00060002101060607|00000802201380608|00007532235080408|00400502205080408|00020519205780128|00030558205680208|04040558105680208|00050558209680308|00050553209682308|00010554609490303|00050554509090100|00050554509590500| |00002339740003008|00300044000000005|00000030700000005|00000030000000005|00000031800094905|00060039101060107|00010839101300100|00017039131700400|00410009101000900|00020019101700120|00030500101400900|04040000101400900|00000000909400300|00000003900402400|00010000600492303|00000000000002100|00000500500502000| |00062309842003008|00360044802000908|00000030802000908|00060030802000008|00060031802094908|00060030101065907|00020830201305900|00027030230305400|00420000200305000|00020019200705120|00030000200405100|04040000100405100|00060000009405300|00060003000402300|00010000600495303|00000000500095100|00000500500595100|
17cae0c1_0,|111996111|111996669|611146644| |999996666|999996669|111146644| |333339999|333393333|111936666|
18419cfa_0,|00000000000000000000000000|00000000000000000000888000|00000000000000000888808888|00088888888800000800200008|00080000000800000802222208|00882020220880000802202208|00800220220080000802000208|00880020220880000802020008|00080000000800000800222008|00088888888800000802020208|00000000000000000800000008|00000000000000000888808888|00000000000000000000888000|00000000000000000000000000|00000000008880000000000000|00000088888088888000000000|00000080000000008000000000|00000080020002008000000000|00000080202220008000000000|00000080022202008000000000|00000080220002208000000000|00000080002220008000000000|00000080202000208000000000|00000080000000008000000000|00000088888088888000000000|00000000008880000000000000|00000000000000000000000000|00000000000000000000000000| |00000000000000000000000000|00000000000000000000888000|00000000000000000888808888|00088888888800000800200208|00080200220800000800222008|00882020220880000802202208|00800220220080000800200008|00880022020880000802020008|00080000000800000800222008|00088888888800000802220208|00000000000000000800000008|00000000000000000888808888|00000000000000000000888000|00000000000000000000000000|00000000008880000000000000|00000088888088888000000000|00000080000000008000000000|00000080020002008000000000|00000080002220008000000000|00000080022202008000000000|00000080000000008000000000|00000080000000008000000000|00000080000000008000000000|00000080000000008000000000|00000088888088888000000000|00000000008880000000000000|00000000000000000000000000|00000000000000000000000000| |00000000000000000000000000|00000000000000000000888000|00000000000000000888808888|00088888888800000800000008|00080000000800000802222208|00880020220880000802222208|00800220220080000802022208|00880020220880000800022208|00080000000800000802222208|00088888888800000802000208|00000000000000000800000008|00000000000000000888808888|00000000000000000000888000|00000000000000000000000000|00000000008880000000000000|00000088888088888000000000|00000080000000008000000000|00000080020002208000000000|00000080002220008000000000|00000080020002208000000000|00000080000020008000000000|00000080202220208000000000|00000080022022008000000000|00000080000000008000000000|00000088888088888000000000|00000000008880000000000000|00000000000000000000000000|00000000000000000000000000|
184a9768_0,|00000000000000000000000000|00444444444444400000000000|00488884444844400000000000|00444444844444400444444440|00444444844444400444444440|00444444844444400444844440|00444444444444400444444440|00000000000000000422222240|00000000000000000444444240|00000000000000000444444240|00000000000000000444444240|00000000000000000448844240|00000000000000000448844440|00000000000000000448844440|00000000000000000448848840|00000001100001000448848840|00000001100001000448844440|00000001100001000444444440|00000000000000000444444440|00000000000000000000000000|00000110000000000000000000|00000110000000000000000000|00000110000000000000000000|00000000000000000000000000|00000000000000000000000000| |00000000000000000000000000|00444444444444400000000000|00488884444344400000000000|00488884344444400888888880|00444444344444400888888880|00444444344444400888288880|00444444444444400888888880|00000000000000000833333380|00000000000000000888888380|00000000000000000888888280|00000000000000000888888280|00000000000000000883388380|00000000000000000883388880|00000000000000000883388880|00000000000000000883381180|00000000000000000883381180|00000000000000000883388880|00000000000000000888888880|00000000000000000888888880|00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00000000000000000000000050|00000000000000000000000005| |00000000000000000000000000|00444444444444400000000000|00444444444444400000000000|00444484344444400444444440|00444444344444400444444440|00444444344444400444644440|00444444444444400444444440|00000000000000000466666440|00000000000000000444444840|00000000000000000444444840|00000000000000000444444840|00000000000000000446644240|00000000000000000446644440|00000000000000000446644440|00000000000000000446646440|00000001100001000446644440|00000001100001000446644440|00000001100001000444444440|00000000000000000444444440|00000000000000000000000000|00000110000000000000000000|00000110000000000000000000|00000110000000000000000000|00000000000000000000000000|00000000000000000000000000|
195ba7dc_0,|111001|110101|111101|111100|011111| |111001|110101|111101|111111|111111| |111001|110101|177107|111100|017111|
1990f7a8_0,|0| |0| |0|
19bb5feb_0,|0| |0| |0|
1a2e2828_0,|0| |0| |0|
1a6449f1_0,|0| |0| |0|
1acc24af_0,|000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000002000000|020022000020|025020025020|005020025020|000000000000| |000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000002000000|020022000050|022020052050|002020022050|000000000000| |000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000002000000|020022000050|022020022020|005020022050|000000000000|
1c02dbbe_0,|000060000000000|066666655511110|066666655511110|066666655511110|066666655511110|055555555511110|055555555511110|055555555511110|035333555555550|033335355555550|333333555555550|033333555555550|033333555555550|033333555555550|000000001001000| |000010000000000|011111155555500|011111155544440|011111155544440|011111155544440|055555555544440|055555555544440|066666555555550|055555555544440|066666555555550|066666555555550|066666555555550|066666555555550|053335555555500|000000000000000| |000000000000000|006666655111600|066666515571110|066666515571110|066666515517610|055555515511110|055555555577110|655555555577110|031115555555553|031115555555550|031335555555550|031315555555550|031115555555550|075555555555530|000000007000000|
1c0d0a4b_0,|0000000000000|0022002002020|0020000002000|0000002200200|0000000000000|0020002200000|0000020200200|0200002002020|0000000000000|0000002002200|0002000200000|0202020000220|0000000000000| |0000000000000|0022002002020|0020000002000|0000000200200|0000000000000|0020000200020|0000000200200|0200000002020|0000000000000|0000000002200|0002000200000|0200022000220|0000000000000| |0|
